RTS ID,RTS Status,Load #,Wave #,Routed Date,Ready Date,Date of Pickup,Time of Pickup,Outbound BOL,Order Date,Customer,Ship To Name,Purchase Order No.,Cartons,Start Date,Cancel Date,BOL Cube,Final Cube,Burlington Cube,Pallet,Individual Pieces,Total Pieces,Individual Weight,Total Weight,Invoice No.,Style,Release,Assigned Trucking Co.
,,,,,,,,,2242025,,COOKIE'S,645207,1,2202025,3152025,4.51,130,,1,36,180,8.8,42.3,G13300,D00219LA,,
,,,,,,,,,2242025,,COOKIE'S,645207,1,2202025,3152025,4.51,130,,1,36,180,7.9,42.3,G13300,D00227LA,,
,,,,,,,,,2242025,,COOKIE'S,645207,1,2202025,3152025,4.51,130,,1,36,180,7.9,42.3,G13300,D10226LA,,
,,,,,,,,,2242025,,COOKIE'S,645366JH,1,2152025,3152025,0.95,130,,1,24,24,11.0,11.0,G13303,D03566LA,,
,,,,,,,,,2242025,,COOKIE'S,645370JH,1,2152025,3152025,2.93,130,,1,24,48,14.3,31.3,G13304,D00467LA,,
,,,,,,,,,2242025,,COOKIE'S,645370JH,1,2152025,3152025,2.93,130,,1,24,48,17.0,31.3,G13304,D08184LA,,
,,,,,,,,,2242025,,COOKIE'S,651273,1,2202025,3152025,5.09,130,,1,24,156,6.4,49.1,G13307,10078LA,,
,,,,,,,,,2242025,,COOKIE'S,651273,1,2202025,3152025,5.09,130,,1,36,156,10.1,49.1,G13307,17830LA,,
,,,,,,,,,2242025,,COOKIE'S,651273,1,2202025,3152025,5.09,130,,1,36,156,10.1,49.1,G13307,17832LA,,
,,,,,,,,,2242025,,COOKIE'S,651273,1,2202025,3152025,5.09,130,,1,24,156,10.6,49.1,G13307,17865X,,
,,,,,,,,,2242025,,COOKIE'S,651273,1,2202025,3152025,5.09,130,,1,36,156,11.9,49.1,G13307,17876LA,,
,,,,,,,,,2242025,,COOKIE'S,645373JH,1,1252025,3252025,8.13,130,,1,72,204,15.4,52.2,G13305,D05729LA,,
,,,,,,,,,2242025,,COOKIE'S,645373JH,1,1252025,3252025,8.13,130,,1,72,204,15.4,52.2,G13305,D05730LA,,
,,,,,,,,,2242025,,COOKIE'S,645373JH,1,1252025,3252025,8.13,130,,1,60,204,21.4,52.2,G13305,D05813LA,,
,,,,,,,,,2242025,,COOKIES ON FULTON,645217,1,1152025,2152025,1.02,130,,1,24,24,11.0,11.0,G13290,D95609LA,,
,,,,,,,,,2242025,,COOKIES ON FULTON,629412,2,1202025,2202025,2.85,130,,1,48,48,19.8,19.8,G13288,B89152LA,,
,,,,,,,,,2242025,,COOKIES ON FULTON,629403,1,2102025,2282025,3.37,130,,1,48,96,13.9,27.8,G13287,Q35958LA,,
,,,,,,,,,2242025,,COOKIES ON FULTON,629403,1,2102025,2282025,3.37,130,,1,48,96,13.9,27.8,G13287,Q35959LA,,
,,,,,,,,,2242025,,COOKIES ON FULTON,645219,1,2152025,2282025,3.22,130,,1,24,72,8.8,25.6,G13291,D95513LA,,
,,,,,,,,,2242025,,COOKIES ON FULTON,645219,1,2152025,2282025,3.22,130,,1,24,72,8.2,25.6,G13291,D95554LA,,
,,,,,,,,,2242025,,COOKIES ON FULTON,645219,1,2152025,2282025,3.22,130,,1,24,72,8.6,25.6,G13291,D95604LA,,
,,,,,,,,,2242025,,COOKIES ON FULTON,651272,1,2182025,2282025,10.19,130,,1,24,216,6.2,63.9,G13295,07492LA,,
,,,,,,,,,2242025,,COOKIES ON FULTON,651272,1,2182025,2282025,10.19,130,,1,24,216,8.1,63.9,G13295,07499LA,,
,,,,,,,,,2242025,,COOKIES ON FULTON,651272,1,2182025,2282025,10.19,130,,1,24,216,5.7,63.9,G13295,07556LA,,
,,,,,,,,,2242025,,COOKIES ON FULTON,651272,1,2182025,2282025,10.19,130,,1,24,216,5.7,63.9,G13295,07557LA,,
,,,,,,,,,2242025,,COOKIES ON FULTON,651272,1,2182025,2282025,10.19,130,,1,24,216,7.0,63.9,G13295,17492LA,,
,,,,,,,,,2242025,,COOKIES ON FULTON,651272,1,2182025,2282025,10.19,130,,1,24,216,9.0,63.9,G13295,17497LA,,
